2;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
0;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
5;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31046107897416336;0.18932371943866325;0.22227858270785997;0.32364661755099566;0.32408800300864987;0.3089920105622428;0:09:10.583447
0;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
5;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31046107897416336;0.18932371943866325;0.22227858270785997;0.32364661755099566;0.32408800300864987;0.3089920105622428;0:09:10.583447
6;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.36309230483866234;0.2212013356242738;0.2549165450376517;0.36820348009144477;0.3708787764823869;0.3481547708785483;0:27:46.307363
0;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
5;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31046107897416336;0.18932371943866325;0.22227858270785997;0.32364661755099566;0.32408800300864987;0.3089920105622428;0:09:10.583447
6;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.36309230483866234;0.2212013356242738;0.2549165450376517;0.36820348009144477;0.3708787764823869;0.3481547708785483;0:27:46.307363
7;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.17699538484913388;0.30674283228701865;0.17041525459854237;0.3991860306700861;0.20283941331327568;0.2077608510650467;2:10:52.636985
0;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
5;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31046107897416336;0.18932371943866325;0.22227858270785997;0.32364661755099566;0.32408800300864987;0.3089920105622428;0:09:10.583447
6;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.36309230483866234;0.2212013356242738;0.2549165450376517;0.36820348009144477;0.3708787764823869;0.3481547708785483;0:27:46.307363
7;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.17699538484913388;0.30674283228701865;0.17041525459854237;0.3991860306700861;0.20283941331327568;0.2077608510650467;2:10:52.636985
0;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
5;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31046107897416336;0.18932371943866325;0.22227858270785997;0.32364661755099566;0.32408800300864987;0.3089920105622428;0:09:10.583447
6;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.36309230483866234;0.2212013356242738;0.2549165450376517;0.36820348009144477;0.3708787764823869;0.3481547708785483;0:27:46.307363
7;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.17699538484913388;0.30674283228701865;0.17041525459854237;0.3991860306700861;0.20283941331327568;0.2077608510650467;2:10:52.636985
0;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
5;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31046107897416336;0.18932371943866325;0.22227858270785997;0.32364661755099566;0.32408800300864987;0.3089920105622428;0:09:10.583447
6;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.36309230483866234;0.2212013356242738;0.2549165450376517;0.36820348009144477;0.3708787764823869;0.3481547708785483;0:27:46.307363
7;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.17699538484913388;0.30674283228701865;0.17041525459854237;0.3991860306700861;0.20283941331327568;0.2077608510650467;2:10:52.636985
0;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_200;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
5;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31046107897416336;0.18932371943866325;0.22227858270785997;0.32364661755099566;0.32408800300864987;0.3089920105622428;0:09:10.583447
6;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.36309230483866234;0.2212013356242738;0.2549165450376517;0.36820348009144477;0.3708787764823869;0.3481547708785483;0:27:46.307363
7;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.17699538484913388;0.30674283228701865;0.17041525459854237;0.3991860306700861;0.20283941331327568;0.2077608510650467;2:10:52.636985
0;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
5;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Random Forest;LSI_200;0.31046107897416336;0.18932371943866325;0.22227858270785997;0.32364661755099566;0.32408800300864987;0.3089920105622428;0:09:10.583447
6;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.36309230483866234;0.2212013356242738;0.2549165450376517;0.36820348009144477;0.3708787764823869;0.3481547708785483;0:27:46.307363
7;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.17699538484913388;0.30674283228701865;0.17041525459854237;0.3991860306700861;0.20283941331327568;0.2077608510650467;2:10:52.636985
0;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
5;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.31046107897416336;0.18932371943866325;0.22227858270785997;0.32364661755099566;0.32408800300864987;0.3089920105622428;0:09:10.583447
6;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;Multilayer Perceptron;LSI_200;0.36309230483866234;0.2212013356242738;0.2549165450376517;0.36820348009144477;0.3708787764823869;0.3481547708785483;0:27:46.307363
7;TRT13_2G_JT_REDUZIDO_LSI_200_CorpusCompleto_CV5;SVM_bagging;LSI_200;0.17699538484913388;0.30674283228701865;0.17041525459854237;0.3991860306700861;0.20283941331327568;0.2077608510650467;2:10:52.636985
0;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.29380286634026337;0.16246007019618225;0.18021494894696868;0.3394940224606079;0.3485458192302871;0.309692147928894;0:00:16.185117
1;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.3046827671886628;0.1690959944896227;0.20389419989182025;0.3096176294751698;0.30485771593330824;0.2881022331906464;0:15:35.025419
2;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Random Forest;LSI_250;0.31913760322012313;0.1915998489279662;0.22562885882548422;0.3270316785467291;0.32623793406042373;0.3110479211524243;0:08:50.204905
3;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:05.671528
4;TRT13_2G_JT_REDUZIDO_LSI_250_CorpusCompleto_CV5;Multinomial Naive Bayes;LSI_250;0.23867364514649292;0.12910036748070614;0.13645642777449843;0.2976478492629787;0.310969035978438;0.2707295306225786;0:00:04.825989
